"REF_DATE","GEO","DGUID","Lender type","Characteristics of outstanding residential mortgage loans","Residential mortgage loans outstanding","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 50% and up to 55%, insured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992317","1.1.24.2","4112","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 55% and up to 60%, insured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992078","1.1.25.1","538820","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 55% and up to 60%, insured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992318","1.1.25.2","2571","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 60%, insured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992079","1.1.26.1","2177101","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 60%, insured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992319","1.1.26.2","8723","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total uninsured outstanding residential mortgages by total debt service (TDS) ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992080","1.1.27.1","196782916","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total uninsured outstanding residential mortgages by total debt service (TDS) ratio","Number of mortgages outstanding","Number","223","units","0","v1374992320","1.1.27.2","1111853","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","30% or less, uninsured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992081","1.1.28.1","61314227","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","30% or less, uninsured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992321","1.1.28.2","433248","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 30% and up to 35%, uninsured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992082","1.1.29.1","34440622","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 30% and up to 35%, uninsured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992322","1.1.29.2","199080","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 35% and up to 40%, uninsured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992083","1.1.30.1","42437701","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 35% and up to 40%, uninsured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992323","1.1.30.2","214009","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 40% and up to 45%, uninsured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992084","1.1.31.1","33298654","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 40% and up to 45%, uninsured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992324","1.1.31.2","143250","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 45% and up to 50%, uninsured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992085","1.1.32.1","11273561","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 45% and up to 50%, uninsured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992325","1.1.32.2","53339","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 50% and up to 55%, uninsured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992086","1.1.33.1","4609613","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 50% and up to 55%, uninsured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992326","1.1.33.2","22257","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 55% and up to 60%, uninsured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992087","1.1.34.1","2633954","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 55% and up to 60%, uninsured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992327","1.1.34.2","14088","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 60%, uninsured outstanding residential mortgages by TDS ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992088","1.1.35.1","6774584","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 60%, uninsured outstanding residential mortgages by TDS ratio","Number of mortgages outstanding","Number","223","units","0","v1374992328","1.1.35.2","32582","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured outstanding residential mortgages by loan-to-value (LTV) ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992089","1.1.36.1","133557822","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured outstanding residential mortgages by loan-to-value (LTV) ratio","Number of mortgages outstanding","Number","223","units","0","v1374992329","1.1.36.2","586950","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","65% or less, insured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992090","1.1.37.1","30071725","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","65% or less, insured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992330","1.1.37.2","155310","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 65% and up to 75%, insured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992091","1.1.38.1","20082150","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 65% and up to 75%, insured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992331","1.1.38.2","91050","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 75% and up to 80%, insured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992092","1.1.39.1","18664126","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 75% and up to 80%, insured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992332","1.1.39.2","76300","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 80% and up to 85%, insured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992093","1.1.40.1","12779575","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 80% and up to 85%, insured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992333","1.1.40.2","56472","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 85% and up to 90%, insured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992094","1.1.41.1","14468658","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 85% and up to 90%, insured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992334","1.1.41.2","59311","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 90% and up to 95%, insured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992095","1.1.42.1","22283825","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 90% and up to 95%, insured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992335","1.1.42.2","93650","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 95%, insured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992096","1.1.43.1","15207763","","","","0"
